Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_adm,integer_adm_num,integer_adm_den,integer_adm_num_scale0,integer_adm_den_scale0,integer_adm_num_scale1,integer_adm_den_scale1,integer_adm_num_scale2,integer_adm_den_scale2,integer_adm_num_scale3,integer_adm_den_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,integer_vif,integer_vif_num,integer_vif_den,integer_vif_num_scale0,integer_vif_den_scale0,integer_vif_num_scale1,integer_vif_den_scale1,integer_vif_num_scale2,integer_vif_den_scale2,integer_vif_num_scale3,integer_vif_den_scale3,integer_motion3,vmaf,
22,0.786603,0.182143,0.926117,0.905517,0.888317,0.786603,4523.615657,5750.826683,167.182197,917.861450,732.259605,790.677269,1755.265786,1938.411987,1868.908068,2103.875977,4384.706172,4405.502566,0.744993,0.739378,0.736691,0.723132,0.744011,34012021.809107,45714402.027344,29219676.918712,39221421.514160,3669092.035892,4962402.066895,893340.519002,1212638.897949,229912.335500,317939.548340,4384.706172,100.000000,
23,0.438422,0.131008,0.612952,0.487855,0.475573,0.438422,2210.743903,5042.504292,119.052670,908.740612,468.928664,765.033043,821.617661,1684.142441,801.144909,1684.588196,4384.706172,4384.706172,0.292937,0.413076,0.413957,0.392402,0.308660,13594210.668085,44042622.332520,11201003.002560,38236900.520996,1827672.922351,4424540.163574,452394.119268,1092853.402344,113140.623906,288328.245605,4384.706172,100.000000,
24,0.704505,0.181816,0.898648,0.796278,0.775184,0.704505,4042.168161,5737.600601,166.893590,917.927536,716.371006,797.165009,1537.091221,1930.344482,1621.812343,2092.163574,4405.252196,4405.252196,0.715138,0.641115,0.644922,0.632669,0.704585,32120059.643394,45587228.356445,27934358.352474,39061483.454102,3198032.929694,4988236.187988,786045.505778,1218822.773926,201622.855448,318685.940430,4405.252196,100.000000,
25,0.748094,0.173742,0.969405,0.891366,0.884802,0.748094,3307.452301,4421.171494,163.295333,939.871315,622.446080,642.091011,1300.137429,1458.590668,1221.573459,1380.618500,4553.430721,4553.430721,0.686088,0.693495,0.695442,0.681614,0.687165,29736770.174488,43274556.153809,25243361.805897,36793166.169922,3438188.115202,4957771.994629,839892.504336,1207709.559082,215327.749053,315908.430176,4553.430721,100.000000,
26,0.786064,0.175980,0.966049,0.950838,0.947313,0.786064,3443.611238,4380.828709,165.073100,938.020771,620.905280,642.726700,1370.188482,1441.033264,1287.444376,1359.047974,4557.097346,4557.135099,0.937229,0.885692,0.893552,0.897496,0.929921,40441327.932902,43489011.836914,34741034.752634,37067812.386230,4351268.346534,4912846.931641,1068286.925166,1195551.176758,280737.908567,312801.342285,4557.097346,100.000000,
27,0.822716,0.177333,1.000000,1.000000,1.000000,0.822716,3585.605422,4358.254051,166.551442,939.199440,642.137251,642.137375,1435.769854,1435.770142,1341.146876,1341.147095,4557.097346,4557.097346,1.000000,0.999999,0.999999,0.999999,1.000000,43294133.992260,43294140.719238,36908877.711543,36908877.681152,4885616.700828,4885621.903320,1188759.352000,1188760.652344,310880.227888,310880.482422,4557.097346,100.000000,
28,0.823826,0.178798,1.000000,1.000000,1.000000,0.823826,3608.259487,4379.878296,168.002426,939.620560,636.982067,636.982162,1433.802801,1433.803116,1369.472193,1369.472458,4557.341233,4557.341233,1.000000,0.999999,0.999999,0.999999,1.000000,43386130.268575,43386137.036133,36932346.525039,36932346.486816,4938971.252449,4938976.508789,1200770.445776,1200771.746582,314042.045311,314042.293945,4557.341233,100.000000,
29,0.451834,0.157462,0.757036,0.493567,0.481290,0.451834,2092.304900,4630.695648,155.332212,986.472672,453.347578,598.845627,720.239112,1459.254211,763.385998,1586.123138,4557.354971,4703.469089,0.256795,0.397388,0.408396,0.394275,0.277018,12463527.925520,44991684.142090,9913924.104595,38606314.094727,1939945.834008,4881736.414062,486258.697571,1190655.888672,123399.289346,312977.744629,4557.354971,100.000000,
30,0.473408,0.168484,0.624567,0.498121,0.586424,0.473408,2069.195369,4370.852295,157.794305,936.554482,400.282277,640.895210,716.406310,1438.217377,794.712476,1355.185226,4557.354971,4557.354971,0.310600,0.381694,0.395511,0.386367,0.321606,13995364.777476,43517078.328125,11503077.759792,37034986.288086,1894486.289853,4963362.320801,476363.458394,1204423.927734,121437.269436,314305.791504,4557.354971,100.000000,
31,0.763967,0.168990,0.943403,0.920029,0.923258,0.763967,3535.467652,4627.776993,166.822592,987.173058,567.815440,601.880165,1337.997712,1454.299667,1462.831908,1584.424103,4702.985259,4702.985259,0.743084,0.671017,0.674702,0.663845,0.732832,33322346.797740,45470660.705078,28959271.075160,38971729.318848,3334761.915577,4969713.367676,817233.909581,1211252.413574,211079.897422,317965.604980,4702.985259,100.000000,
32,0.758021,0.169324,0.937984,0.912699,0.914425,0.758021,3506.040303,4625.256699,167.041386,986.517181,564.007504,601.297455,1333.377214,1460.916733,1441.614199,1576.525330,4703.488121,4703.488121,0.752207,0.685828,0.688656,0.675948,0.742803,33467430.784104,45055577.532715,29086709.921503,38668487.811035,3349039.259516,4883206.317871,820139.993870,1190927.847656,211541.609214,312955.556152,4703.488121,100.000000,
33,0.389136,0.165509,0.712378,0.415366,0.373635,0.389136,2009.841523,5164.879120,164.175151,991.940910,450.025113,631.722801,721.817470,1737.788498,673.823789,1803.426910,4703.991573,4777.765666,0.320633,0.451217,0.455559,0.443712,0.340520,14707859.451107,43192377.388184,11746906.574867,36636644.396484,2262090.654027,5013311.960938,556482.127810,1221537.277344,142380.094402,320883.753418,4703.991573,100.000000,
34,0.823175,0.171458,1.000000,1.000000,1.000000,0.823175,3810.914539,4629.529415,169.404027,988.018246,598.895929,598.896042,1449.303126,1449.303421,1593.311456,1593.311707,4703.135554,4703.991573,1.000000,0.999999,0.999999,0.999999,1.000000,45841247.208881,45841255.146484,39291391.993447,39291392.264160,5007766.069072,5007771.945801,1220996.488243,1220998.011719,321092.658120,321092.924805,4703.135554,100.000000,
35,0.425512,0.165851,0.766012,0.458754,0.427390,0.425512,1964.749732,4617.383072,163.738804,987.262085,461.411859,602.355606,666.440901,1452.720169,673.158167,1575.045212,4703.135554,4703.135554,0.313117,0.463639,0.469906,0.458747,0.334596,15275578.417717,45653823.718262,12267702.076203,39179253.856445,2295216.433722,4950438.698242,567172.645059,1206990.608887,145487.262734,317140.554688,4703.135554,100.000000,
36,0.839359,0.168987,0.995627,0.992931,0.992649,0.839359,4488.940013,5348.059296,168.706541,998.341530,656.759211,659.643852,1853.623776,1866.820038,1809.850484,1823.253876,4557.341233,4846.716800,0.967355,0.956995,0.961745,0.965012,0.965876,39077595.988397,40458208.537598,32766750.497643,33872531.764160,4823618.058057,5040381.812988,1177927.599344,1224781.042969,309299.833353,320513.917480,4557.341233,100.000000,
37,0.461981,0.162293,0.620442,0.549565,0.502198,0.461981,2023.419500,4379.878296,152.494064,939.620560,395.210650,636.982162,787.968123,1433.803116,687.746662,1369.472458,4557.341233,4557.341233,0.285102,0.392651,0.405328,0.399192,0.301499,13080862.292457,43386137.036133,10529501.162424,36932346.486816,1939291.679013,4938976.508789,486706.234161,1200771.746582,125363.216858,314042.293945,4557.341233,100.000000,
